id,region_block,category,formula_using_library_names,economic_interpretation,regime_classification
US_G1,US & Neighbours,Growth / cyclicals vs defensives,S&P 500 Consumer Discretionary / S&P 500 Consumer Staples,"Discretionary outperformance vs staples signals strong consumer income, confidence and credit; underperformance is typical in slowdowns and recessions.","Compute rolling z-score of log-ratio. Z > +1: pro-growth (tilt to cyclicals/equities); -1 <= Z <= +1: neutral; Z < -1: defensive tilt (staples, bonds)."
US_G2,US & Neighbours,Growth / broader cyclicals vs defensives,(S&P 500 Industrials + S&P 500 Financials) / (S&P 500 Utilities + S&P 500 Consumer Staples),Industrials and financials are leveraged to capex and credit creation; utilities and staples are classic defensives. Rising ratio aligns with early/mid-cycle expansions; falling ratio with late-cycle and risk-off.,"Z > +1: early/mid-cycle risk-on; -1 <= Z <= +1: neutral; Z < -1: late-cycle / pre-recession (favour defensives, duration)."
US_G3,US & Neighbours,Size cycle,Russell 2000 / Russell 1000,"Small caps are more domestic and funding-sensitive; leadership vs large caps often appears in early-cycle and easier-liquidity regimes, while underperformance is common in downturns and tight conditions.",Z > +1: small-cap leadership (early/mid-cycle); Z < -1: large-cap safety (late-cycle/tightening).
US_G4,US & Neighbours,Style / value vs growth,Russell 1000 Value / Russell 1000 Growth,"Value tends to outperform when nominal growth and yields are rising; growth dominates in low-growth, low-rate regimes.","Z > +1: value/reflation regime (OW value, cyclicals); -1 <= Z <= +1: mixed; Z < -1: growth/low-rate regime (OW quality/growth, duration)."
US_I1,US & Neighbours,Yield-curve slope,US 10-Year Treasury Yield - US 3-Month Treasury Yield,The 10Y–3M slope is a well-documented recession predictor; inversions (spread < 0) have preceded most post-war US recessions. Steep positive slopes often correspond to early-cycle or reflationary environments.,If spread < 0: recession-watch/defensive. Else use z-score: Z > +1: early-cycle/reflation; -1 <= Z <= +1: mid-cycle; Z < -1 but spread > 0: late-cycle.
US_I2,US & Neighbours,HY credit spread,yield(ICE BofA US High Yield Index) - US 10-Year Treasury Yield,High-yield spreads are leading indicators of the business cycle and default risk; widening spreads flag deteriorating fundamentals and tightening conditions.,Spread > 700 bps or Z > +1.5: stress (de-risk credit); 400–700 bps and |Z| <= 1: normal carry; < 400 bps and Z < -1: frothy credit (consider UW HY).
US_I3,US & Neighbours,Commodities vs bonds,Invesco DB Commodity Index Fund / ICE BofA US Treasury Index,"Strong commodities vs Treasuries usually occur in reflationary, higher-nominal-growth environments; strong Treasuries vs commodities in disinflation scares or growth downturns.","Z > +1: reflation/stagflation risk (OW commodities, UW long duration); -1 <= Z <= +1: balanced; Z < -1: growth scare/deflation (OW duration, UW commodities)."
US_R1,US & Neighbours,Vol term structure (equity),CBOE VIX3M - 3-Month VIX - CBOE VIX Volatility Index  (or ratio VIX3M / VIX),Equity-vol term structure is normally in contango (VIX3M > VIX); flattening or inversion is associated with acute stress and risk-off episodes.,"Spread < 0 or ratio < 1: stress (tighten risk, add hedges); spread > 0 with Z > +1: normal but elevated vol; near-zero spread with Z < -1: unusually calm (beware complacency)."
US_R2,US & Neighbours,Rates vs equity vol,MOVE Index - Bond Volatility / CBOE VIX Volatility Index,"High MOVE or a high MOVE/VIX ratio indicates rates- and policy-driven macro uncertainty, often preceding broader asset-class volatility.","Z > +1: macro/policy uncertainty (hedge rates, cautious on carry); Z < -1: unusually calm rates backdrop."
US_FX1,US & Neighbours,Dollar vs EM & commodities,iShares MSCI Emerging Markets ETF / DXY Dollar Index and Invesco DB Commodity Index Fund / DXY Dollar Index,A strong dollar usually pressures EM assets and commodities; a weakening dollar often coincides with EM and commodity outperformance and easier global conditions.,"For EM/DXY ratio: Z > +1: weak USD, EM-friendly (OW EM/commodities); Z < -1: strong USD, tight conditions (UW EM/commodities)."
